67,AGSTRA,80,80.95,77,77.55,77.05,79.2,88729,6947434.15,2311
68,AHLADA,91.9,93.95,90.1,90.55,90.2,91.85,7386,675715,176
69,AHLEAST,221.6,224.4,218.25,221.65,223.8,220.75,2589,575303.55,279
70,AHLUCONT,431,439,428.1,433.9,428.1,430.2,16000,6954634.75,1338
71,AIAENG,2322,2344.95,2285,2301.3,2290,2316.75,57425,132955074.2,11699
72,AIRAN,19.7,20.05,19.7,19.9,19.95,19.9,93237,1856315.95,694
73,AIROLAM,66.9,66.9,63.05,65.4,65.55,64.1,9811,635213.3,213
74,AIRTELPP,274,282,269.8,272.25,273.9,270.25,759646,209355118.9,13018
75,AJANTPHARM,1192,1211.2,1192,1206.7,1203.9,1190.75,53735,64572706.75,6538
76,AJMERA,251.8,255.25,244,252.45,255,251.75,49237,12345388.15,3175
77,AJOONI,44.45,47.5,42.1,44.05,43.45,43.6,124259,5536908.6,997
78,AJRINFRA,1.55,1.6,1.5,1.55,1.5,1.55,126443,194095.25,278
79,AKASH,41,41.3,37.8,40.25,39.55,39.75,176864,7036195.5,1998
80,AKG,50.7,51.35,47.6,48.75,48.45,49.6,52034,2555084.55,412
81,AKSHAR,90.55,99,90.55,98.5,96.7,91.9,88334,8586296.1,791
82,AKSHARCHEM,277,285,270.45,280.55,280.15,273,5440,1511031.5,404
83,AKSHOPTFBR,9.5,9.65,9.25,9.4,9.4,9.45,317288,2983273.05,667
84,AKZOINDIA,1924.95,1930,1908,1920.15,1924,1919.4,2327,4470165.55,728
85,ALANKIT,11.65,11.95,11.2,11.35,11.35,11.5,150705,1728453.95,589
86,ALBERTDAVD,582,582,571.25,574,573.5,572.75,1063,608712.2,124
87,ALEMBICLTD,73.4,74.8,72.5,72.8,72.8,72.95,154379,11397268.8,3554
88,ALICON,666.1,669,649.9,657.25,661,665.7,5327,3503503.6,587
89,ALKALI,80.6,81.8,80.55,81.4,81.15,81,3091,251378.85,144
90,ALKEM,3204.6,3265,3193.2,3211.95,3200,3188.65,261979,847684026.3,22203
91,ALKYLAMINE,2660,2665.95,2586.9,2611,2619,2652.6,18640,48823143.25,5210
92,ALLCARGO,278.15,289.7,275,286.2,289.5,278.8,517934,145542660.1,13136
